case_id,message,mood
0001,"Not bad at all; somehow, anxiety fluttered for no clear reason. As the day wound down, cool evening lifted my energy, even if a few things wobbled.",slightly_positive
0002,"I woke up empty and stayed that way. I phone battery held up all day. On the way home, I meditation actually helped, and I’m struggling to find any spark.",very_sad
0003,"A nice rhythm set in early. Short version: better than yesterday. As the day wound down, stood in a long line for returns; later, steady rain hushed the street, and I’m proud of the effort.",happy
0004,"Better than I expected — wifi behaved all morning; forgot the one thing I needed; even if a few things wobbled.",slightly_positive
0005,"I’m disappointed in myself. Short version: mixed feelings. Later on, canceled a subscription I never used; later, the standup actually ended on time, and even simple tasks feel uphill.",sad
0006,"Hope feels out of reach right now. oddly, missed a call and feel bad. learned a neat trick in the editor, and it’s hard to believe this will lift.",very_sad
0007,"Everything feels dull and far away. I a quiet dinner at home. Meanwhile, I donated a bag of clothes, and I’m moving like I’m underwater.",very_sad
0008,"Loneliness crept in quietly; somehow, missed a deadline by a day. By evening, tinkered with a recipe and it flopped, and I keep second‑guessing every step.",sad
0009,"Everything aligned better than I hoped. if I’m honest, energy dipped mid‑afternoon. budget app shows I'm on track, and it feels like pure lift.",very_happy
0010,"I’m overwhelmed by a gray, sinking weight. Short version: mixed feelings. On the way home, a sudden storm changed plans; later, the window view calmed me down, and the future looks like fog on fog.",very_sad
0011,"I can’t see the point of anything today — the lecture clicked for once; a sudden storm changed plans; and it’s hard to believe this will lift.",very_sad
0012,"Hope feels out of reach right now. I I keep rereading the same page. Right after lunch, I found a small deal on essentials, and the future looks like fog on fog.",very_sad
0013,"Nothing stood out much; honestly, the connection felt like a marathon. By evening, learned a new chord progression, and the hours slipped by.",neutral
0014,"Kind of a mixed bag; for what it’s worth, I keep rereading the same page. First thing this morning, the forecast was kinder than expected, and I’m fine with that.",neutral
0015,"Quietly optimistic here. Short version: still here. Meanwhile, we planned a weekend picnic; later, tutorial cleared up a concept, nothing flashy, just steady steps.",slightly_positive
0016,"Feeling low and worn out — the window view calmed me down; the puzzle finally made sense; and I keep second‑guessing every step.",sad
0017,"Everything feels dull and far away. Short version: not great. First thing this morning, a bright, crisp morning; later, my plants perked up, and I’m struggling to find any spark.",very_sad
0018,"Loneliness crept in quietly. for once, computer fans roared under load. professor's feedback was constructive, and even simple tasks feel uphill.",sad
0019,"Mostly routine, start to finish — went for a short run; the lecture clicked for once; and I kept it simple.",neutral
0020,"Hope feels out of reach right now — tinkered with a recipe and it flopped; campus library was peaceful; and I’m moving like I’m underwater.",very_sad
0021,"Kind of a mixed bag — a sync error ate my changes; back pain flared up again; and I kept it simple.",neutral
0022,"Pretty decent flow today — voice notes were oddly helpful; tinkered with a recipe and it flopped; with room to grow tomorrow.",slightly_positive
0023,"Better than I expected — the forecast was kinder than expected; airport lines moved briskly; with room to grow tomorrow.",slightly_positive
0024,"Small annoyances piled up. I missed a question I knew. After that, I subway musicians brightened the commute, and I’m calling it early.",slightly_negative
0025,"A nice rhythm set in early. I sunlight poured across the desk. After that, I a sync error ate my changes, and I can breathe a little easier.",happy
0026,"Everything aligned better than I hoped. Short version: mixed feelings. Before noon, read a chapter that pulled me in; later, cooked a simple, decent meal, and I'm soaking it up.",very_happy
0027,"Feeling low and worn out. Short version: better than yesterday. After that, felt lonely even in a full house; later, rent cleared without issues, and I keep second‑guessing every step.",sad
0028,"Everything aligned better than I hoped; to be honest, felt lonely even in a full house. Meanwhile, trash day came too early, and the momentum is unreal.",very_happy
0029,"A nice rhythm set in early. for once, couldn't focus during the planning call. saved a little from this paycheck, and the pace felt just right.",happy
0030,"Today sparkled from the start; thankfully, computer fans roared under load. First thing this morning, found a small discount at checkout, and I want to bottle this feeling.",very_happy
0031,"Mostly routine, start to finish. Short version: still here. On the way home, the meeting could've been an email; later, shared a silly story that broke the tension, so I just kept moving.",neutral
0032,"I’m overwhelmed by a gray, sinking weight; in a small way, read a chapter that pulled me in. As the day wound down, forgot the one thing I needed, and I’m moving like I’m underwater.",very_sad
0033,"Nothing stood out much; surprisingly, the puzzle finally made sense. After that, woke up with a light headache, so I just kept moving.",neutral
0034,"I woke up empty and stayed that way. Short version: mixed feelings. On the way home, my workload feels lopsided; later, still nervous about rising costs, and it’s hard to believe this will lift.",very_sad
