case_id,message,label
1,"yesterday evening, I finally finished a personal goal I’ve chased for years leaving me with mixed feelings.",very_happy
2,I finally finished a personal goal I’ve chased for years which I’ll carry into tomorrow. (this morning),very_happy
3,Every moment today felt like a gift I’ll remember forever which surprised me more than I expected. (earlier today),very_happy
4,"The future looks wide open and I feel ready for anything yesterday evening, and it stayed with me all day.",very_happy
5,I’m overwhelmed with gratitude for the kindness I received which surprised me more than I expected. (over the weekend),very_happy
6,"I just achieved something I never thought possible before going to bed, and it stayed with me all day.",very_happy
7,"earlier today, I’m overwhelmed with gratitude for the kindness I received and it stayed with me all day.",very_happy
8,"The future looks wide open and I feel ready for anything as the sun was setting, which I’ll carry into tomorrow.",very_happy
9,"yesterday evening, Every moment today felt like a gift I’ll remember forever and I still can’t stop thinking about it.",very_happy
10,"I’m overwhelmed with gratitude for the kindness I received yesterday evening, though I know tomorrow might be different.",very_happy
11,I can’t stop smiling because life feels so bright. It happened last night and and I still can’t stop thinking about it.,very_happy
12,I can’t stop smiling because life feels so bright. It happened before going to bed and leaving me with mixed feelings.,very_happy
13,"Even small things felt magical today, like the sun on my face. It happened before going to bed and and it changed the way I looked at everything.",very_happy
14,I finally finished a personal goal I’ve chased for years and I still can’t stop thinking about it. (as the sun was setting),very_happy
15,The future looks wide open and I feel ready for anything though part of me is still unsure why. (yesterday evening),very_happy
16,"this morning, Every moment today felt like a gift I’ll remember forever which I’ll carry into tomorrow.",very_happy
17,I laughed until my stomach hurt with friends earlier. It happened earlier today and and I still can’t stop thinking about it.,very_happy
18,Everything clicked perfectly today and I feel unstoppable. It happened during my commute and which I’ll carry into tomorrow.,very_happy
19,"yesterday evening, I laughed until my stomach hurt with friends earlier and I still can’t stop thinking about it.",very_happy
20,"after lunch, This excitement is bubbling over and I want to share it and it made me pause to reflect.",very_happy
21,"while working from home, I just achieved something I never thought possible though part of me is still unsure why.",very_happy
22,"over the weekend, I finally finished a personal goal I’ve chased for years which I’ll carry into tomorrow.",very_happy
23,This excitement is bubbling over and I want to share it and it stayed with me all day. (before going to bed),very_happy
24,"earlier today, I just achieved something I never thought possible though I know tomorrow might be different.",very_happy
25,"last night, I’m overwhelmed with gratitude for the kindness I received leaving me with mixed feelings.",very_happy
26,"This excitement is bubbling over and I want to share it after lunch, and it stayed with me all day.",very_happy
27,"over the weekend, Every moment today felt like a gift I’ll remember forever though I know tomorrow might be different.",very_happy
28,Everything clicked perfectly today and I feel unstoppable. It happened earlier today and which I’ll carry into tomorrow.,very_happy
29,"while working from home, Everything clicked perfectly today and I feel unstoppable which I’ll carry into tomorrow.",very_happy
30,The future looks wide open and I feel ready for anything though part of me is still unsure why. (earlier today),very_happy
31,"yesterday evening, Everything clicked perfectly today and I feel unstoppable and I still can’t stop thinking about it.",very_happy
32,"over the weekend, I’m overwhelmed with gratitude for the kindness I received which I’ll carry into tomorrow.",very_happy
33,I just achieved something I never thought possible. It happened while working from home and and I still can’t stop thinking about it.,very_happy
34,I laughed until my stomach hurt with friends earlier. It happened after lunch and leaving me with mixed feelings.,very_happy
35,This excitement is bubbling over and I want to share it. It happened yesterday evening and and it changed the way I looked at everything.,very_happy
36,I finally finished a personal goal I’ve chased for years though part of me is still unsure why. (as the sun was setting),very_happy
37,Every moment today felt like a gift I’ll remember forever. It happened before going to bed and and it shaped the rest of my mood.,very_happy
38,"yesterday evening, I laughed until my stomach hurt with friends earlier though I know tomorrow might be different.",very_happy
39,"yesterday evening, This excitement is bubbling over and I want to share it which I’ll carry into tomorrow.",very_happy
40,"Everything clicked perfectly today and I feel unstoppable as the sun was setting, and it changed the way I looked at everything.",very_happy
41,I can’t stop smiling because life feels so bright. It happened last night and and it made me pause to reflect.,very_happy
42,"Every moment today felt like a gift I’ll remember forever this morning, and it stayed with me all day.",very_happy
43,Every moment today felt like a gift I’ll remember forever. It happened before going to bed and which I’ll carry into tomorrow.,very_happy
44,I’m overwhelmed with gratitude for the kindness I received. It happened during my commute and though part of me is still unsure why.,very_happy
45,I’m overwhelmed with gratitude for the kindness I received and it shaped the rest of my mood. (this morning),very_happy
46,This excitement is bubbling over and I want to share it. It happened after lunch and and it made me pause to reflect.,very_happy
47,"I’m overwhelmed with gratitude for the kindness I received during my commute, leaving me with mixed feelings.",very_happy
48,I laughed until my stomach hurt with friends earlier and I still can’t stop thinking about it. (this morning),very_happy
49,I finally finished a personal goal I’ve chased for years which surprised me more than I expected. (last night),very_happy
50,"The future looks wide open and I feel ready for anything while working from home, and it shaped the rest of my mood.",very_happy
51,"I can’t stop smiling because life feels so bright during my commute, which surprised me more than I expected.",very_happy
52,I finally finished a personal goal I’ve chased for years. It happened over the weekend and leaving me with mixed feelings.,very_happy
53,I can’t stop smiling because life feels so bright. It happened during my commute and which surprised me more than I expected.,very_happy
54,"after lunch, I laughed until my stomach hurt with friends earlier and it stayed with me all day.",very_happy
55,"I finally finished a personal goal I’ve chased for years as the sun was setting, and it made me pause to reflect.",very_happy
56,"I laughed until my stomach hurt with friends earlier during my commute, and it made me pause to reflect.",very_happy
57,"Even small things felt magical today, like the sun on my face. It happened this morning and though part of me is still unsure why.",very_happy
58,"This excitement is bubbling over and I want to share it during my commute, and it stayed with me all day.",very_happy
59,I just achieved something I never thought possible and it made me pause to reflect. (during my commute),very_happy
60,I just achieved something I never thought possible. It happened last night and which I’ll carry into tomorrow.,very_happy
61,"while working from home, Every moment today felt like a gift I’ll remember forever and it changed the way I looked at everything.",very_happy
62,Everything clicked perfectly today and I feel unstoppable. It happened before going to bed and though I know tomorrow might be different.,very_happy
63,I just achieved something I never thought possible leaving me with mixed feelings. (as the sun was setting),very_happy
